person,conjugation,gloss,tense,tense_base,tense_translation,preverb,preverb_translation,preverb_base,verb,verb_base,verb_type,verb_translation,subject,subject_translation,subject_base,mode,mode_translation,mode_base
3,nitawihapiyiwa,3-prs-nitawi-apiVAI-3'-ind-,prs,,present,nitawi,good at,nitawi,apiVAI,api,VAI,sit,3',John's son(s),John okosisa,ind,Independent,
3,nitawimîcisoyiwa,3-prs-nitawi-mîcisoVAI-3'-ind-,prs,,present,nitawi,good at,nitawi,mîcisoVAI,mîciso,VAI,eat,3',John's son(s),John okosisa,ind,Independent,
3,pehapiyiwa,3-prs-pe-apiVAI-3'-ind-,prs,,present,pe,come and,pe,apiVAI,api,VAI,sit,3',John's son(s),John okosisa,ind,Independent,
3,pemîcisoyiwa,3-prs-pe-mîcisoVAI-3'-ind-,prs,,present,pe,come and,pe,mîcisoVAI,mîciso,VAI,eat,3',John's son(s),John okosisa,ind,Independent,
3,apiyiwa,3-prs-NONE-apiVAI-3'-ind-,prs,,present,NONE,no preverb,mahkikway preverb,apiVAI,api,VAI,sit,3',John's son(s),John okosisa,ind,Independent,
3,mîcisoyiwa,3-prs-NONE-mîcisoVAI-3'-ind-,prs,,present,NONE,no preverb,mahkikway preverb,mîcisoVAI,mîciso,VAI,eat,3',John's son(s),John okosisa,ind,Independent,
3,kahatihapiwak,3-fut_def-ati-apiVAI-3PL-ind-,fut_def,ka,future definite,ati,begin to,ati,apiVAI,api,VAI,sit,3PL,they,wiyawaw,ind,Independent,
3,kahatimîcisowak,3-fut_def-ati-mîcisoVAI-3PL-ind-,fut_def,ka,future definite,ati,begin to,ati,mîcisoVAI,mîciso,VAI,eat,3PL,they,wiyawaw,ind,Independent,
3,kanitawihapiwak,3-fut_def-nitawi-apiVAI-3PL-ind-,fut_def,ka,future definite,nitawi,good at,nitawi,apiVAI,api,VAI,sit,3PL,they,wiyawaw,ind,Independent,
3,kanitawimîcisowak,3-fut_def-nitawi-mîcisoVAI-3PL-ind-,fut_def,ka,future definite,nitawi,good at,nitawi,mîcisoVAI,mîciso,VAI,eat,3PL,they,wiyawaw,ind,Independent,
3,kapehapiwak,3-fut_def-pe-apiVAI-3PL-ind-,fut_def,ka,future definite,pe,come and,pe,apiVAI,api,VAI,sit,3PL,they,wiyawaw,ind,Independent,
3,kapemîcisowak,3-fut_def-pe-mîcisoVAI-3PL-ind-,fut_def,ka,future definite,pe,come and,pe,mîcisoVAI,mîciso,VAI,eat,3PL,they,wiyawaw,ind,Independent,
3,kahapiwak,3-fut_def-NONE-apiVAI-3PL-ind-,fut_def,ka,future definite,NONE,no preverb,mahkikway preverb,apiVAI,api,VAI,sit,3PL,they,wiyawaw,ind,Independent,
3,kamîcisowak,3-fut_def-NONE-mîcisoVAI-3PL-ind-,fut_def,ka,future definite,NONE,no preverb,mahkikway preverb,mîcisoVAI,mîciso,VAI,eat,3PL,they,wiyawaw,ind,Independent,
3,wîhatihapiwak,3-fut_int-ati-apiVAI-3PL-ind-,fut_int,wî,future intentional,ati,begin to,ati,apiVAI,api,VAI,sit,3PL,they,wiyawaw,ind,Independent,
3,wîhatimîcisowak,3-fut_int-ati-mîcisoVAI-3PL-ind-,fut_int,wî,future intentional,ati,begin to,ati,mîcisoVAI,mîciso,VAI,eat,3PL,they,wiyawaw,ind,Independent,
3,wînitawihapiwak,3-fut_int-nitawi-apiVAI-3PL-ind-,fut_int,wî,future intentional,nitawi,good at,nitawi,apiVAI,api,VAI,sit,3PL,they,wiyawaw,ind,Independent,
3,wînitawimîcisowak,3-fut_int-nitawi-mîcisoVAI-3PL-ind-,fut_int,wî,future intentional,nitawi,good at,nitawi,mîcisoVAI,mîciso,VAI,eat,3PL,they,wiyawaw,ind,Independent,
3,wîpehapiwak,3-fut_int-pe-apiVAI-3PL-ind-,fut_int,wî,future intentional,pe,come and,pe,apiVAI,api,VAI,sit,3PL,they,wiyawaw,ind,Independent,
3,wîpemîcisowak,3-fut_int-pe-mîcisoVAI-3PL-ind-,fut_int,wî,future intentional,pe,come and,pe,mîcisoVAI,mîciso,VAI,eat,3PL,they,wiyawaw,ind,Independent,
3,wîhapiwak,3-fut_int-NONE-apiVAI-3PL-ind-,fut_int,wî,future intentional,NONE,no preverb,mahkikway preverb,apiVAI,api,VAI,sit,3PL,they,wiyawaw,ind,Independent,
3,wîmîcisowak,3-fut_int-NONE-mîcisoVAI-3PL-ind-,fut_int,wî,future intentional,NONE,no preverb,mahkikway preverb,mîcisoVAI,mîciso,VAI,eat,3PL,they,wiyawaw,ind,Independent,
3,kîhatihapiwak,3-pst-ati-apiVAI-3PL-ind-,pst,kî,past,ati,begin to,ati,apiVAI,api,VAI,sit,3PL,they,wiyawaw,ind,Independent,
3,kîhatimîcisowak,3-pst-ati-mîcisoVAI-3PL-ind-,pst,kî,past,ati,begin to,ati,mîcisoVAI,mîciso,VAI,eat,3PL,they,wiyawaw,ind,Independent,
3,kînitawihapiwak,3-pst-nitawi-apiVAI-3PL-ind-,pst,kî,past,nitawi,good at,nitawi,apiVAI,api,VAI,sit,3PL,they,wiyawaw,ind,Independent,
3,kînitawimîcisowak,3-pst-nitawi-mîcisoVAI-3PL-ind-,pst,kî,past,nitawi,good at,nitawi,mîcisoVAI,mîciso,VAI,eat,3PL,they,wiyawaw,ind,Independent,
3,kîpehapiwak,3-pst-pe-apiVAI-3PL-ind-,pst,kî,past,pe,come and,pe,apiVAI,api,VAI,sit,3PL,they,wiyawaw,ind,Independent,
3,kîpemîcisowak,3-pst-pe-mîcisoVAI-3PL-ind-,pst,kî,past,pe,come and,pe,mîcisoVAI,mîciso,VAI,eat,3PL,they,wiyawaw,ind,Independent,
3,kîhapiwak,3-pst-NONE-apiVAI-3PL-ind-,pst,kî,past,NONE,no preverb,mahkikway preverb,apiVAI,api,VAI,sit,3PL,they,wiyawaw,ind,Independent,
3,kîmîcisowak,3-pst-NONE-mîcisoVAI-3PL-ind-,pst,kî,past,NONE,no preverb,mahkikway preverb,mîcisoVAI,mîciso,VAI,eat,3PL,they,wiyawaw,ind,Independent,
3,atihapiwak,3-prs-ati-apiVAI-3PL-ind-,prs,,present,ati,begin to,ati,apiVAI,api,VAI,sit,3PL,they,wiyawaw,ind,Independent,
3,atimîcisowak,3-prs-ati-mîcisoVAI-3PL-ind-,prs,,present,ati,begin to,ati,mîcisoVAI,mîciso,VAI,eat,3PL,they,wiyawaw,ind,Independent,
3,nitawihapiwak,3-prs-nitawi-apiVAI-3PL-ind-,prs,,present,nitawi,good at,nitawi,apiVAI,api,VAI,sit,3PL,they,wiyawaw,ind,Independent,
3,nitawimîcisowak,3-prs-nitawi-mîcisoVAI-3PL-ind-,prs,,present,nitawi,good at,nitawi,mîcisoVAI,mîciso,VAI,eat,3PL,they,wiyawaw,ind,Independent,
3,pehapiwak,3-prs-pe-apiVAI-3PL-ind-,prs,,present,pe,come and,pe,apiVAI,api,VAI,sit,3PL,they,wiyawaw,ind,Independent,
3,pemîcisowak,3-prs-pe-mîcisoVAI-3PL-ind-,prs,,present,pe,come and,pe,mîcisoVAI,mîciso,VAI,eat,3PL,they,wiyawaw,ind,Independent,
3,apiwak,3-prs-NONE-apiVAI-3PL-ind-,prs,,present,NONE,no preverb,mahkikway preverb,apiVAI,api,VAI,sit,3PL,they,wiyawaw,ind,Independent,
3,mîcisowak,3-prs-NONE-mîcisoVAI-3PL-ind-,prs,,present,NONE,no preverb,mahkikway preverb,mîcisoVAI,mîciso,VAI,eat,3PL,they,wiyawaw,ind,Independent,
3,kahatihapiw,3-fut_def-ati-apiVAI-3SG-ind-,fut_def,ka,future definite,ati,begin to,ati,apiVAI,api,VAI,sit,3SG,s/he,wiya,ind,Independent,
3,kahatimîcisow,3-fut_def-ati-mîcisoVAI-3SG-ind-,fut_def,ka,future definite,ati,begin to,ati,mîcisoVAI,mîciso,VAI,eat,3SG,s/he,wiya,ind,Independent,
3,kanitawihapiw,3-fut_def-nitawi-apiVAI-3SG-ind-,fut_def,ka,future definite,nitawi,good at,nitawi,apiVAI,api,VAI,sit,3SG,s/he,wiya,ind,Independent,
3,kanitawimîcisow,3-fut_def-nitawi-mîcisoVAI-3SG-ind-,fut_def,ka,future definite,nitawi,good at,nitawi,mîcisoVAI,mîciso,VAI,eat,3SG,s/he,wiya,ind,Independent,
3,kapehapiw,3-fut_def-pe-apiVAI-3SG-ind-,fut_def,ka,future definite,pe,come and,pe,apiVAI,api,VAI,sit,3SG,s/he,wiya,ind,Independent,
3,kapemîcisow,3-fut_def-pe-mîcisoVAI-3SG-ind-,fut_def,ka,future definite,pe,come and,pe,mîcisoVAI,mîciso,VAI,eat,3SG,s/he,wiya,ind,Independent,
3,kahapiw,3-fut_def-NONE-apiVAI-3SG-ind-,fut_def,ka,future definite,NONE,no preverb,mahkikway preverb,apiVAI,api,VAI,sit,3SG,s/he,wiya,ind,Independent,
3,kamîcisow,3-fut_def-NONE-mîcisoVAI-3SG-ind-,fut_def,ka,future definite,NONE,no preverb,mahkikway preverb,mîcisoVAI,mîciso,VAI,eat,3SG,s/he,wiya,ind,Independent,
3,wîhatihapiw,3-fut_int-ati-apiVAI-3SG-ind-,fut_int,wî,future intentional,ati,begin to,ati,apiVAI,api,VAI,sit,3SG,s/he,wiya,ind,Independent,
3,wîhatimîcisow,3-fut_int-ati-mîcisoVAI-3SG-ind-,fut_int,wî,future intentional,ati,begin to,ati,mîcisoVAI,mîciso,VAI,eat,3SG,s/he,wiya,ind,Independent,
3,wînitawihapiw,3-fut_int-nitawi-apiVAI-3SG-ind-,fut_int,wî,future intentional,nitawi,good at,nitawi,apiVAI,api,VAI,sit,3SG,s/he,wiya,ind,Independent,
3,wînitawimîcisow,3-fut_int-nitawi-mîcisoVAI-3SG-ind-,fut_int,wî,future intentional,nitawi,good at,nitawi,mîcisoVAI,mîciso,VAI,eat,3SG,s/he,wiya,ind,Independent,
3,wîpehapiw,3-fut_int-pe-apiVAI-3SG-ind-,fut_int,wî,future intentional,pe,come and,pe,apiVAI,api,VAI,sit,3SG,s/he,wiya,ind,Independent,
3,wîpemîcisow,3-fut_int-pe-mîcisoVAI-3SG-ind-,fut_int,wî,future intentional,pe,come and,pe,mîcisoVAI,mîciso,VAI,eat,3SG,s/he,wiya,ind,Independent,
3,wîhapiw,3-fut_int-NONE-apiVAI-3SG-ind-,fut_int,wî,future intentional,NONE,no preverb,mahkikway preverb,apiVAI,api,VAI,sit,3SG,s/he,wiya,ind,Independent,
3,wîmîcisow,3-fut_int-NONE-mîcisoVAI-3SG-ind-,fut_int,wî,future intentional,NONE,no preverb,mahkikway preverb,mîcisoVAI,mîciso,VAI,eat,3SG,s/he,wiya,ind,Independent,
3,kîhatihapiw,3-pst-ati-apiVAI-3SG-ind-,pst,kî,past,ati,begin to,ati,apiVAI,api,VAI,sit,3SG,s/he,wiya,ind,Independent,
3,kîhatimîcisow,3-pst-ati-mîcisoVAI-3SG-ind-,pst,kî,past,ati,begin to,ati,mîcisoVAI,mîciso,VAI,eat,3SG,s/he,wiya,ind,Independent,
3,kînitawihapiw,3-pst-nitawi-apiVAI-3SG-ind-,pst,kî,past,nitawi,good at,nitawi,apiVAI,api,VAI,sit,3SG,s/he,wiya,ind,Independent,
3,kînitawimîcisow,3-pst-nitawi-mîcisoVAI-3SG-ind-,pst,kî,past,nitawi,good at,nitawi,mîcisoVAI,mîciso,VAI,eat,3SG,s/he,wiya,ind,Independent,
3,kîpehapiw,3-pst-pe-apiVAI-3SG-ind-,pst,kî,past,pe,come and,pe,apiVAI,api,VAI,sit,3SG,s/he,wiya,ind,Independent,
3,kîpemîcisow,3-pst-pe-mîcisoVAI-3SG-ind-,pst,kî,past,pe,come and,pe,mîcisoVAI,mîciso,VAI,eat,3SG,s/he,wiya,ind,Independent,
3,kîhapiw,3-pst-NONE-apiVAI-3SG-ind-,pst,kî,past,NONE,no preverb,mahkikway preverb,apiVAI,api,VAI,sit,3SG,s/he,wiya,ind,Independent,
3,kîmîcisow,3-pst-NONE-mîcisoVAI-3SG-ind-,pst,kî,past,NONE,no preverb,mahkikway preverb,mîcisoVAI,mîciso,VAI,eat,3SG,s/he,wiya,ind,Independent,
3,atihapiw,3-prs-ati-apiVAI-3SG-ind-,prs,,present,ati,begin to,ati,apiVAI,api,VAI,sit,3SG,s/he,wiya,ind,Independent,
3,atimîcisow,3-prs-ati-mîcisoVAI-3SG-ind-,prs,,present,ati,begin to,ati,mîcisoVAI,mîciso,VAI,eat,3SG,s/he,wiya,ind,Independent,
3,nitawihapiw,3-prs-nitawi-apiVAI-3SG-ind-,prs,,present,nitawi,good at,nitawi,apiVAI,api,VAI,sit,3SG,s/he,wiya,ind,Independent,
3,nitawimîcisow,3-prs-nitawi-mîcisoVAI-3SG-ind-,prs,,present,nitawi,good at,nitawi,mîcisoVAI,mîciso,VAI,eat,3SG,s/he,wiya,ind,Independent,
3,pehapiw,3-prs-pe-apiVAI-3SG-ind-,prs,,present,pe,come and,pe,apiVAI,api,VAI,sit,3SG,s/he,wiya,ind,Independent,
